geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,accessibility_index,pop_density_per_sq_km,ZONE_NAME,WARD_NO
"POLYGON ((75.70882697597911 26.908411632183608, 75.70888337361396 26.917439645225862, 75.71895434325201 26.917388717250823, 75.71889714455385 26.908360723999873, 75.70882697597911 26.908411632183608))",POINT (75.71389045935146 26.912900270891658),,8609667879,POINT (571042.5204926975 2978194.9863600875),4125693737.0,MEENAWALA,"AC5, AC1",1752,29.1999999416,16.0,12.0,41.1999999416,0.7281553408379678,0.5,0.3640776704189839,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.70888337361396 26.917439645225862, 75.70893979773348 26.926467646610675, 75.71901156881101 26.926416698841248, 75.71895434325201 26.917388717250823, 75.70888337361396 26.917439645225862))",POINT (75.71394727085433 26.921928268244002),,11207017111,POINT (571042.5204926975 2978194.9863600875),4125693737.0,MEENAWALA,"AC5, AC1",404,6.7333333198666665,16.0,12.0,18.733333319866663,1.6014234886956853,0.5,0.8007117443478426,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.70893979773348 26.926467646610675, 75.70899624834679 26.93549563633535, 75.71906882124007 26.935444668768458, 75.71901156881101 26.926416698841248, 75.70893979773348 26.926467646610675))",POINT (75.71400410903458 26.930956253936014),,11206975112,POINT (571042.5204926975 2978194.9863600875),4125693737.0,MEENAWALA,"AC5, AC1",1582,26.366666613933333,16.0,12.0,38.36666661393333,0.7819287586768126,0.5,0.3909643793384063,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.70899624834679 26.93549563633535, 75.70905272546295 26.944523614397163, 75.71912610054838 26.944472627029757, 75.71906882124007 26.935444668768458, 75.70899624834679 26.93549563633535))",POINT (75.71406097390127 26.939984227965002),,8635026327,POINT (571640.7064031751 2980845.936631821),3956216415.0,RAVAN GATE,24,1588,26.46666661373333,35.0,21.5,47.96666661373333,0.6254343300856079,0.5,0.3127171650428039,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.70905272546295 26.944523614397163, 75.70910922909108 26.953551580793437, 75.71918340674519 26.953500573622456, 75.71912610054838 26.944472627029757, 75.70905272546295 26.944523614397163))",POINT (75.71411786546362 26.949012190328276),,8637719697,POINT (571640.7064031751 2980845.936631821),3956216415.0,RAVAN GATE,24,668,11.133333311066666,35.0,21.5,32.633333311066664,0.9193054143147048,0.5,0.4596527071573524,4127.213848731749,,
"POLYGON ((75.70910922909108 26.953551580793437, 75.70916575924025 26.962579535521478, 75.71924073983969 26.96252850854381, 75.71918340674519 26.953500573622456, 75.70910922909108 26.953551580793437))",POINT (75.71417478373077 26.958040141023115),,3784365964,POINT (571640.7064031751 2980845.936631821),3956216415.0,RAVAN GATE,24,1814,30.233333272866663,35.0,21.5,51.733333272866666,0.5798969078942867,0.5,0.2899484539471433,4127.213848731749,,
"POLYGON ((75.70916575924025 26.962579535521478, 75.70922231591958 26.971607478578584, 75.71929809984114 26.971556431791175, 75.71924073983969 26.96252850854381, 75.70916575924025 26.962579535521478))",POINT (75.7142317287119 26.967068080046847),,4798018865,POINT (571640.7064031751 2980845.936631821),3956216415.0,RAVAN GATE,24,2436,40.5999999188,35.0,21.5,62.0999999188,0.4830917880712891,0.5,0.2415458940356445,4127.213848731749,,
"POLYGON ((75.71849750499764 26.84516444497606, 75.71855451592735 26.85419251977486, 75.72861985921742 26.854141013936044, 75.72856204986297 26.84511295918595, 75.71849750499764 26.84516444497606))",POINT (75.72355848250307 26.84965282544786),,11106949855,POINT (574322.9174512353 2969239.9680055985),9798312119.0,PATRAKAR COLONY,23,3304,55.06666655653333,120.0,64.0,119.06666655653332,0.2519596866832236,0.5,0.1259798433416118,4127.213848731749,,
"POLYGON ((75.71855451592735 26.85419251977486, 75.71861155365359 26.8632205829321, 75.72867769574364 26.863169057041468, 75.72861985921742 26.854141013936044, 75.71855451592735 26.85419251977486))",POINT (75.72361590613723 26.85868088443594),,3935277064,POINT (571755.7157676127 2972678.2181880553),8120330779.0,NARAIN VIHAR,32,1939,32.31666660203333,35.0,21.5,53.81666660203333,0.5574481270243988,0.5,0.2787240635121994,4127.213848731749,SANGANER,29
"POLYGON ((75.71861155365359 26.8632205829321, 75.71866861818552 26.872248634445047, 75.72873555945094 26.872197088499508, 75.72867769574364 26.863169057041468, 75.71861155365359 26.8632205829321))",POINT (75.72367335676014 26.867708931779553),,3793688644,POINT (571755.7157676127 2972678.2181880553),8120330779.0,NARAIN VIHAR,32,1054,17.566666631533334,35.0,21.5,39.06666663153334,0.7679180894278034,0.5,0.3839590447139017,4127.213848731749,SANGANER,29
