geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,bus_ptal,pop_density_per_sq_km,ZONE_NAME,WARD_NO,index_right,metro_ptal,accessibility_index,population_density,pop_density_cat,accessibility_cat,bivariate_cat
"POLYGON ((75.78496955602645 26.90787409503511, 75.78544745023271 26.903212434719443, 75.7904813764503 26.901303191628916, 75.7950378147219 26.904055266887315, 75.7945605902469 26.908716969540947, 75.78952625775591 26.9106265546303, 75.78496955602645 26.90787409503511))",POINT (75.79000383313193 26.90596485232849),,2690970499,POINT (578742.9848771845 2975870.670699317),318619972.0,22 GODAM,14,1221.0,20.3499999593,14.0,11.0,31.3499999593,0.9569378002854024,0.5,0.4784689001427012,6178.743901974189,CIVIL LINES,18.0,324,1.0044642871851084,1.4829331873278095,6178.743901974189,B,3,3B
"POLYGON ((75.78043926342791 26.999251630862968, 75.78091813013967 26.994584758827955, 75.78595910159237 26.992673159224104, 75.7905216137962 26.995428089452705, 75.79004341863669 27.000095003844567, 75.78500203970788 27.0020069456831, 75.78043926342791 26.999251630862968))",POINT (75.78548058675408 26.997340031723326),,4553444967,POINT (578882.1582451658 2986444.122761912),4553445069.0,VKI NO. 17,1A,1159.0,19.31666662803333,8.0,8.0,27.31666662803333,1.0982306299851732,1.0,1.0982306299851732,4349.745063944651,,,74,0.1506780515197848,1.248908681504958,4349.745063944651,A,3,3A
"POLYGON ((75.73438697060855 26.882252303600946, 75.73486824421174 26.877592078975038, 75.7399021164298 26.875685251074607, 75.74445512201629 26.87843830644242, 75.74397451751575 26.88309857430658, 75.73894023831274 26.885005743596725, 75.73438697060855 26.882252303600946))",POINT (75.73942119372994 26.880345476552662),,3787304005,POINT (573803.4524460689 2973360.8589845444),3787303987.0,DHARAM KATA,7,456.0,7.599999984799999,15.0,11.5,19.0999999848,1.570680629522217,0.5,0.7853403147611085,7982.795325819863,JHOTWARA ANSIK,14.0,138,0.2107234843593661,0.9960637991204748,7982.795325819863,B,3,3B
"POLYGON ((75.81782509508994 26.91781450992339, 75.81830074503046 26.91315230232605, 75.82333419871689 26.911241674381152, 75.82789240817824 26.91399291169274, 75.82741742824194 26.918655161047234, 75.82238356882702 26.92056613136507, 75.81782509508994 26.91781450992339))",POINT (75.82285889958301 26.915903882055513),,9602312991,POINT (581776.9258744813 2977336.240303016),317399470.0,SANGANERI GATE,"1A,3,14,34,32,AC1",324.0,5.3999999892,15.0,11.5,16.899999989199998,1.7751479301284971,0.5,0.8875739650642486,4349.745063944651,MALVIYA NAGAR,44.0,65,1.1873350939710807,2.0749090590353294,4349.745063944651,A,3,3A
"POLYGON ((75.78882867679096 26.964678181126565, 75.78930670461354 26.960013282468218, 75.79434476130827 26.958102347054382, 75.79890519705249 26.96085596811539, 75.79842784010772 26.96552090900669, 75.79338937652774 26.967432186636156, 75.78882867679096 26.964678181126565))",POINT (75.79386708494818 26.96276724608326),,3901399921,POINT (578514.1500891678 2982052.2377924677),2392800545.0,VIDHYADHAR NAGAR,9A,756.0,12.5999999748,14.0,11.0,23.5999999748,1.2711864420353347,0.5,0.6355932210176674,4349.745063944651,,,514,0.314685315261871,0.9502785362795384,4349.745063944651,A,2,2A
"POLYGON ((75.84979292434737 26.79370698072903, 75.85026544467769 26.78905190074006, 75.85528838849099 26.78714362496419, 75.85983921554238 26.789890086893653, 75.85936736280713 26.794545208165484, 75.85434401541256 26.796453826257025, 75.84979292434737 26.79370698072903))",POINT (75.85481621748842 26.791798704679156),,4805685547,POINT (583507.229814946 2964580.8345124293),4805541837.0,DWARKA PURI,3,2245.0,37.41666659183333,15.0,11.5,48.91666659183333,0.6132879055378748,0.5,0.3066439527689374,3336.9779937530966,BAGRU ANSIK,33.0,464,0.1047242264079279,0.4113681791768653,3336.9779937530966,A,1,1A
"POLYGON ((75.864698248189 26.837291285070535, 75.8651700270369 26.83263371573619, 75.87019568660698 26.83072373081158, 75.87474997112159 26.833470972645003, 75.87427886077116 26.838128582972484, 75.86925279739582 26.84003891050546, 75.864698248189 26.837291285070535))",POINT (75.86972425745759 26.835381299748207),,8621864115,POINT (586225.4798803068 2968562.308177342),4750678132.0,KUNDAN PURA,AC7,344.0,5.733333321866667,14.0,11.0,16.733333321866667,1.792828686487516,0.5,0.896414343243758,2161.559325661986,BAGRU ANSIK,34.0,64,0.117378546037647,1.013792889281405,2161.559325661986,A,3,3A
"POLYGON ((75.7221755309895 26.86001305840581, 75.72265750440717 26.855354099545927, 75.72769015571795 26.853448295420087, 75.73224124055885 26.856201108993748, 75.73175993577105 26.86086011131928, 75.72672687749912 26.862766256637542, 75.7221755309895 26.86001305840581))",POINT (75.72720853303872 26.858107255238465),,4098395125,POINT (571755.7157676127 2972678.2181880553),8120330779.0,NARAIN VIHAR,32,2055.0,34.2499999315,15.0,11.5,45.7499999315,0.6557377058998477,0.5,0.3278688529499238,4127.213848731749,SANGANER,29.0,436,0.2107234843593661,0.5385923373092899,4127.213848731749,A,1,1A
"POLYGON ((75.81149598862646 26.79034758098554, 75.81197117895874 26.78569266780288, 75.81699529332506 26.783785772831642, 75.82154462166045 26.786533449168402, 75.82107009877167 26.791188404303828, 75.816045580091 26.79309564118176, 75.81149598862646 26.79034758098554))",POINT (75.81652045250135 26.78844068610032),,6735155713,POINT (580912.4772997096 2964147.570055007),6738418901.0,KUMBHA MARG,"3,11,16,27,AC2",1060.0,17.66666663133333,10.0,9.0,26.66666663133333,1.1250000014906252,0.5,0.5625000007453126,4858.185723197913,SANGANER,31.0,244,0.1337097016395512,0.6962097023848638,4858.185723197913,B,2,2B
"POLYGON ((75.72597901810713 26.91678894399828, 75.72646113246836 26.91212674181364, 75.73149791300541 26.91021925061203, 75.73605298674292 26.91297362021824, 75.73557154215557 26.9176358657659, 75.73053435404348 26.919543698376415, 75.72597901810713 26.91678894399828))",POINT (75.7310161499572 26.914881453742836),,3779534444,POINT (572482.9982109143 2977251.948547417),3784330965.0,BAJRI MANDI PULIYA,"7,14",172.0,2.8666666609333333,8.0,8.0,10.866666660933332,2.760736197775603,1.0,2.760736197775603,9560.825432003918,JHOTWARA ANSIK,11.0,362,0.2107234843593661,2.971459682134969,9560.825432003918,B,3,3B
